"module name","license","repository"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@babel/code-frame@7.24.7","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.25.2","MIT","https://github.com/babel/babel"
"@babel/core@7.25.2","MIT","https://github.com/babel/babel"
"@babel/generator@7.25.0","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.25.2","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.24.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.25.2","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.24.8","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.24.7","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.24.8","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.24.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.24.8","MIT","https://github.com/babel/babel"
"@babel/helpers@7.25.0","MIT","https://github.com/babel/babel"
"@babel/highlight@7.24.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.25.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.24.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.24.7","MIT","https://github.com/babel/babel"
"@babel/runtime@7.25.6","MIT","https://github.com/babel/babel"
"@babel/template@7.25.0","MIT","https://github.com/babel/babel"
"@babel/traverse@7.25.3","MIT","https://github.com/babel/babel"
"@babel/types@7.25.2","MIT","https://github.com/babel/babel"
"@emotion/babel-plugin@11.12.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.13.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/is-prop-valid@1.3.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/is-prop-valid"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.13.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.3.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/styled@11.13.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/styled"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.1.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.4.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@esbuild/darwin-arm64@0.21.5","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.4.0","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.11.0","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.17.1","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.1.0","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.9.0","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.4","Apache-2.0","https://github.com/eslint/rewrite"
"@floating-ui/core@1.6.8","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.6.11","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.2","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.8","MIT","https://github.com/floating-ui/floating-ui"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.3.0","Apache-2.0","https://github.com/humanwhocodes/retrier"
"@jridgewell/gen-mapping@0.3.5","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@mui/base@5.0.0-beta.58","MIT","https://github.com/mui/material-ui"
"@mui/core-downloads-tracker@6.1.1","MIT","https://github.com/mui/material-ui"
"@mui/icons-material@6.1.1","MIT","https://github.com/mui/material-ui"
"@mui/lab@6.0.0-beta.10","MIT","https://github.com/mui/material-ui"
"@mui/material@6.1.1","MIT","https://github.com/mui/material-ui"
"@mui/private-theming@6.1.1","MIT","https://github.com/mui/material-ui"
"@mui/styled-engine@6.1.1","MIT","https://github.com/mui/material-ui"
"@mui/system@6.1.1","MIT","https://github.com/mui/material-ui"
"@mui/types@7.2.17","MIT","https://github.com/mui/material-ui"
"@mui/utils@6.0.0-rc.0","MIT","https://github.com/mui/material-ui"
"@mui/utils@6.1.1","MIT","https://github.com/mui/material-ui"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@remix-run/router@1.19.2","MIT","https://github.com/remix-run/react-router"
"@rollup/rollup-darwin-arm64@4.20.0","MIT","https://github.com/rollup/rollup"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.20.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.17.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-json@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.3.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@typescript-eslint/eslint-plugin@8.1.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/parser@8.1.0","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/scope-manager@8.1.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/type-utils@8.1.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/types@8.1.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/typescript-estree@8.1.0","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/utils@8.1.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/visitor-keys@8.1.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@vitejs/plugin-react@4.3.1","MIT","https://github.com/vitejs/vite-plugin-react"
"acorn-jsx@5.3.2","MIT","https://github.com/acornjs/acorn-jsx"
"acorn@8.12.1","MIT","https://github.com/acornjs/acorn"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array-union@2.1.0","MIT","https://github.com/sindresorhus/array-union"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"axios@1.7.4","MIT","https://github.com/axios/axios"
"babel-plugin-macros@3.1.0","MIT","https://github.com/kentcdodds/babel-plugin-macros"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"browserslist@4.23.3","MIT","https://github.com/browserslist/browserslist"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"caniuse-lite@1.0.30001651","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chokidar@4.0.1","MIT","https://github.com/paulmillr/chokidar"
"cloudfront@0.0.0","UNLICENSED",""
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"convert-source-map@1.9.0","MIT","https://github.com/thlorenz/convert-source-map"
"convert-source-map@2.0.0","MIT","https://github.com/thlorenz/convert-source-map"
"cosmiconfig@7.1.0","MIT","https://github.com/davidtheclark/cosmiconfig"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"debug@4.3.6","MIT","https://github.com/debug-js/debug"
"deep-is@0.1.4","MIT","https://github.com/thlorenz/deep-is"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"dir-glob@3.0.1","MIT","https://github.com/kevva/dir-glob"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
